companyName,jobTitle,phone,governorate,city,category,tags,sourcePage,rawText,confidence
مركز ل تر روم,تمريض,+201558089088,الدقهلية,المنصورة,Pharma & Healthcare,صيدلة,1,| ضيرمت | ز مور رت ل زكرم | 24,95
زدلانودكام,تانبو بابش لمع قيرف,+201020652127,الدقهلية,المنصورة,Other,,1,| تانبو بابش لمع قيرف | زدلانودكام | 25,85
زدلانودكام,باريستا,+201020652127,الدقهلية,المنصورة,Other,مطاعم,1,| اتسيراب | زدلانودكام | 26,85
زدلانودكام,تانبو بابش ميات تراب لمع قيرف,+201020652127,الدقهلية,المنصورة,Other,,1,| تانبو بابش ميات تراب لمع قيرف | زدلانودكام | 27,85
رمغ تيم عرف ءاشلاا اتيب,لمع قيرف,+201556370999,الدقهلية,المنصورة,Technology & IT,تقنية معلومات,1,| لمع قيرف | ز رمغ تيم عرف ءاشلاا اتيب | 28,95
شكة ابن سينا فارما ر,هفاظن لماع,+201064144366,الدقهلية,المنصورة,Pharma & Healthcare,صيدلة,1,| هفاظن لماع | ر امراف انيس نبا ةكش | 29,95
مطعم زبده بيت الكبده,لوتنك يباك,+201068758955,الدقهلية,المنصورة,Restaurants & Cafes,,1,| ز لوتنك يباك | هدبكلا تيب هدبز معطم | 30,95
مطعم زبده بيت الكبده,استيوارد,+201068758955,الدقهلية,المنصورة,Restaurants & Cafes,نظافة,1,| دراويتسا | هدبكلا تيب هدبز معطم | 31,95
مطعم زبده بيت الكبده,مساعد شيف,+201068758955,الدقهلية,المنصورة,Restaurants & Cafes,"مساعد, مطاعم",1,| فيش دعاسم | هدبكلا تيب هدبز معطم | 32,95
لش يدمح,ت شاك,+201010111742,الدقهلية,المنصورة,Other,,1,| ت شاك | ب لش يدمح ي | 33,85
نوشاف ج نا,مدير فرع,+201222210474,الدقهلية,المنصورة,Other,إدارة,1,| عرف ريدم | نوشاف ج نا ي | 34,85
شكة مودرن ك ت ر,سيلز مستحضات تجميل,+201003222269,الدقهلية,المنصورة,Retail & Fashion,"تجزئة, مبيعات",1,| ز ليمجت تاضحتسم زليس | ر ت ك نردوم ةكش | 35,95
طيقنلا,سيلز براند عطاره,+201003741168,الدقهلية,المنصورة,Other,مبيعات,1,| هراطع دنارب زليس | طيقنلا ي | 36,85
طيقنلا,محاسب براند عطاره,+201003741168,الدقهلية,المنصورة,Other,محاسبة,1,| هراطع دنارب بساحم | طيقنلا ي | 37,85
DM3 سكيتامزوك,تل سيلز,+201067684385,الدقهلية,المنصورة,Other,مبيعات,1,| زليس لت ي | DM3 سكيتامزوك | 38,85
Massive real estate,هت تركس,+201063356451,الدقهلية,المنصورة,Real Estate,عقارات,1,| هت تركس | Massive real estate | 39,95
Massive real estate,سيلز,+201063356451,الدقهلية,المنصورة,Real Estate,"عقارات, مبيعات",1,| زليس | Massive real estate | 40,95
Rich Bake,مندوب ي,+201068051455,الدقهلية,المنصورة,Other,مبيعات,1,| ز ي بودنم | Rich Bake | 41,85
Rich Bake,هثلاث ةجرد ي قاوس,+201068051455,الدقهلية,المنصورة,Other,,1,| ز هثلاث ةجرد ي قاوس | Rich Bake | 42,85
نوشاف ج نا,يتنا اتاد,+201222210474,الدقهلية,المنصورة,Other,,1,| يتنا اتاد | نوشاف ج نا ي | 43,85
نوشاف ج نا,تامدخ صخش,+201222210474,الدقهلية,المنصورة,Other,,1,| تامدخ صخش | نوشاف ج نا ي | 44,85
نوشاف ج نا,reels maker تنب,+201222210474,الدقهلية,المنصورة,Other,,1,| reels maker تنب | نوشاف ج نا ي | 45,85
شركة السويدي للبرمجيات,ينف معدو IT يرادإ,+201012201717,الدقهلية,المنصورة,Technology & IT,تقنية معلومات,1,| ينف معدو IT يرادإ | تايجمربلل يديوسلا ةكرش | 46,95
)Egy group( بورج يجيإ,إدارة صفحات وإعالنات ممولة,+201012818172,الدقهلية,المنصورة,Marketing & Media,تسويق,2,| ةلومم تانلاعإو تاحفص ةرادإ | )Egy group( بورج يجيإ | 47,95
ريدصتلاو داريتسلال ولباوكأ,موديريتور ومبيعات أونالين,+201111596669,الدقهلية,المنصورة,Technology & IT,"تقنية معلومات, مبيعات",2,| نيلانوأ تاعيبمو روتيريدوم | ريدصتلاو داريتسلال ولباوكأ | 48,95
تادمجملل زدوف تيرج,مناديب مبيعات,+201065336645,الدقهلية,المنصورة,Technology & IT,"تقنية معلومات, مبيعات",2,| تاعيبم بيدانم | تادمجملل زدوف تيرج | 49,95
ةحايسلل مزمز,سيلز حجز طيران,+201060005585,الدقهلية,المنصورة,Travel & Tourism,مبيعات,2,| ناريط زجح زليس | ةحايسلل مزمز | 50,95
مؤسسة عنوون لإللكترونيات,سيلز (مبيعات),0100664392801028440210,,,Other,مبيعات,2,/ | )تاعيبم( زليس | تاينورتكللإل نوونع ةسسؤم | 51,80
)يرخف دمحم( نزاخم,نزخم نيمأ,+201068051455,الدقهلية,المنصورة,Other,,2,| نزخم نيمأ | )يرخف دمحم( نزاخم | 52,85
نامز ريخ تكرام ربوس,ةلاص فظوم,+201008187197,الدقهلية,المنصورة,Other,,2,| ةلاص فظوم | نامز ريخ تكرام ربوس | 53,85
شركة دومتي,مندوب جملة,+201006365277,الدقهلية,المنصورة,Technology & IT,"تقنية معلومات, مبيعات",2,| ةلمج بودنم | يتمود ةكرش | 54,95
تلالآل نيشام ةيرصملا,)Solidworks( ميمصت تاسدنهم,+201026959669,الدقهلية,المنصورة,Manufacturing & Industry,,2,| )Solidworks( ميمصت تاسدنهم | تلالآل نيشام ةيرصملا | 55,95
صيدلية أبو عبده,)ديوكت( تانايب لخدم,+201014140507,الدقهلية,المنصورة,Pharma & Healthcare,صيدلة,2,| )ديوكت( تانايب لخدم | هدبع وبأ ةيلديص | 56,95
شركة البركة للشحن,تسويق أونالين (من البيت),+201060105694,الدقهلية,المنصورة,Logistics & Delivery,"شحن وتوصيل, تسويق",2,| )تيبلا نم( نيلانوأ قيوست | نحشلل ةكربلا ةكرش | 57,95
يطيرمعلا تلاحم,سيلز (مبيعات),+201000226280,الدقهلية,المنصورة,Other,مبيعات,2,| )تاعيبم( زليس | يطيرمعلا تلاحم | 58,85
City System تايجمربلل,رتنس لوك,+201025018831,الدقهلية,المنصورة,Technology & IT,تقنية معلومات,2,| رتنس لوك | City System تايجمربلل | 59,95
شركة طلبات,)رايط( يرفيلد,+201069033480,الدقهلية,المنصورة,Logistics & Delivery,,2,| )رايط( يرفيلد | تابلط ةكرش | 60,95
مطعم توما,عضو فريق / مساعد شيف,+201050237170,الدقهلية,المنصورة,Restaurants & Cafes,"مساعد, مطاعم",2,| فيش دعاسم / قيرف وضع | اموت معطم | 61,95
مطعم شاشلك,مساعد باريستا,+201064882334,الدقهلية,المنصورة,Restaurants & Cafes,"مساعد, مطاعم",2,| اتسيراب دعاسم | كلشاش معطم | 62,95
إدارة أهل الشام,هيفوبو ةفاظن ةلماع,+201100643880,الدقهلية,المنصورة,Other,,2,| هيفوبو ةفاظن ةلماع | ماشلا لهأ ةرادإ | 63,85
ةايحلا تانيمأتل سيوسلا ةانق,سيلز (تأمينات),+201050078416,الدقهلية,المنصورة,Finance & Insurance,مبيعات,2,| )تانيمأت( زليس | ةايحلا تانيمأتل سيوسلا ةانق | 64,95
شركة لؤطة للمالبس,مدير فرع,+201273766835,الدقهلية,المنصورة,Other,إدارة,2,| عرف ريدم | سبلاملل ةطؤل ةكرش | 65,85
نيمأتلل ةيتاراملإا ةيرصملا,مدير مبيعات,+201010247221,الدقهلية,المنصورة,Other,"إدارة, مبيعات",2,| تاعيبم ريدم | نيمأتلل ةيتاراملإا ةيرصملا | 66,85
يدشرملا رامعم,سيلز عقارات,+201201282792,الدقهلية,المنصورة,Real Estate,"عقارات, مبيعات",2,| تاراقع زليس | يدشرملا رامعم | 67,95
A2Z لحم,سيلز (مبيعات),+201228015977,الدقهلية,المنصورة,Other,مبيعات,2,| )تاعيبم( زليس | A2Z لحم | 68,85
تادمجملل بورج تجرات,رتنس لوكو ينورتكلإ قوسم,+201001955420,الدقهلية,المنصورة,Other,,2,| رتنس لوكو ينورتكلإ قوسم | تادمجملل بورج تجرات | 69,85
شركة الوعد للعمالة,محاسب,+201100114461,الدقهلية,المنصورة,Other,محاسبة,2,| بساحم | ةلامعلل دعولا ةكرش | 70,85
شركة فيوال (جمصة),ديربت فرغ ةنايص ينف,+201032630133,الدقهلية,المنصورة,Other,,2,| ديربت فرغ ةنايص ينف | )ةصمج( لاويف ةكرش | 71,85
نملأل دليش تيليإ,أفراد أمن (التجمع),+201146888848,الدقهلية,المنصورة,Security,"تقنية معلومات, أمن",2,| )عمجتلا( نمأ دارفأ | نملأل دليش تيليإ | 72,95
ريماكس للتسويق العقاري,سيلز (مبيعات),+201099696956,الدقهلية,المنصورة,Real Estate,"تسويق, عقارات, مبيعات",2,| )تاعيبم( زليس | يراقعلا قيوستلل سكامير | 73,95
رامثتسلال AROPE ةكرش,نيمأت ءلاكو,+201004695466,الدقهلية,المنصورة,Other,,2,| نيمأت ءلاكو | رامثتسلال AROPE ةكرش | 74,85
امراف انيس نبا,تلي سيلز,+201033682682,الدقهلية,المنصورة,Other,مبيعات,2,| زليس يلت | امراف انيس نبا | 75,85
حلواني الفخراني,ريشاك,+201006973002,الدقهلية,المنصورة,Restaurants & Cafes,,2,| ريشاك | ينارخفلا يناولح | 76,95
Eureka Pharmaceutical,خدمة عمالء,+201111969916,الدقهلية,المنصورة,Restaurants & Cafes,صيدلة,2,| ءلامع ةمدخ | Eureka Pharmaceutical | 77,95
مطعم بالك جوت,مساعد شيف,+201011668823,الدقهلية,المنصورة,Restaurants & Cafes,"مساعد, مطاعم",2,| فيش دعاسم | توج كلاب معطم | 78,95
PostX,خدمة عمالء,+201026213886,الدقهلية,المنصورة,Logistics & Delivery,,2,| ءلامع ةمدخ | PostX | 79,95
Tutrend,ايديم لايشوس ئاصخأ,+201005333909,الدقهلية,المنصورة,Other,,2,| ايديم لايشوس ئاصخأ ي | Tutrend | 80,85
Tutrend,محاسب مخازن,+201005333909,الدقهلية,المنصورة,Other,محاسبة,2,| نزاخم بساحم | Tutrend | 81,85
Tutrend,تيل سيلز,+201005333909,الدقهلية,المنصورة,Technology & IT,"تقنية معلومات, مبيعات",2,| زليس ليت ي | Tutrend | 82,95
طيقنلا ةراطع,سيلز,+201067154351,الدقهلية,المنصورة,Other,مبيعات,2,| زليس | طيقنلا ةراطع ي | 83,85
طيقنلا ةراطع,ت شاك,+201067154351,الدقهلية,المنصورة,Other,,2,| ت شاك | طيقنلا ةراطع ي | 84,85
مطعم عنب,مساعد شيف,0101617374701012635298,,,Restaurants & Cafes,"مساعد, مطاعم",2,/ | فيش دعاسم | بنع معطم | 85,90
iTechnology,سكرتارية,+201206909049,الدقهلية,المنصورة,Technology & IT,"إداري, تقنية معلومات",2,| ةيراتركس | iTechnology | 86,95
iTechnology,سيلز,+201206909049,الدقهلية,المنصورة,Technology & IT,"تقنية معلومات, مبيعات",2,| زليس | iTechnology | 87,95
Medical Dream,تيل سيلز,+201024973404,الدقهلية,المنصورة,Pharma & Healthcare,"صيدلة, مبيعات",2,| زليس ليت ي | Medical Dream | 88,95
DM Cosmetics,تيل سيلز,+201004759359,الدقهلية,المنصورة,Technology & IT,"تقنية معلومات, تجزئة, مبيعات",2,| زليس ليت ي | DM Cosmetics | 89,95
كافيه س تينو,باريستا,+201093497921,الدقهلية,المنصورة,Restaurants & Cafes,مطاعم,2,| اتسيراب | ونيت س هيفاك | 90,95
تايولحلل هدبع وبأ,سيلز,+201091697993,الدقهلية,المنصورة,Other,مبيعات,2,| زليس | تايولحلل هدبع وبأ | 91,85
هدبع دلاوأ,سيلز,+201091697993,الدقهلية,المنصورة,Other,مبيعات,2,| زليس | هدبع دلاوأ | 92,85
هدبع دلاوأ,ةفاظن لامع,+201091697993,الدقهلية,المنصورة,Other,,2,| ةفاظن لامع | هدبع دلاوأ | 93,85
جاش ضوع,محاسب خزينة,+201554988833,الدقهلية,المنصورة,Other,محاسبة,3,| ةنيزخ بساحم | جاش ضوع | 94,85
جاش ضوع,ةيئابرهك ةزهجأ عايب,+201554988833,الدقهلية,المنصورة,Other,,3,| ةيئابرهك ةزهجأ عايب | جاش ضوع | 95,85
ةعانصلل ليدنق,مندوب أوردرات,+201090741635,الدقهلية,المنصورة,Other,مبيعات,3,| تاردروأ بودنم | ةعانصلل ليدنق | 96,85
اوشلا,أفراد أمن,+201012926915,الدقهلية,المنصورة,Security,"تقنية معلومات, أمن",3,| نمأ دارفأ | اوشلا | 97,95
Panda,سائق,+201000469348,الدقهلية,المنصورة,Other,شحن وتوصيل,3,| قئاس | Panda | 98,85
Shelter,ردروأ يباك,+201064942618,الدقهلية,المنصورة,Other,,3,| ز ردروأ يباك | Shelter | 99,85
Shelter,ويت,+201064942618,الدقهلية,المنصورة,Technology & IT,تقنية معلومات,3,| تيو | Shelter | 100,95
Golden Smile,Assistant نانسأ,+201080080825,الدقهلية,المنصورة,Pharma & Healthcare,"مساعد, صيدلة",3,| Assistant نانسأ | Golden Smile | 101,95
مطعم رشدي,استيوارد,+201095958526,الدقهلية,المنصورة,Restaurants & Cafes,نظافة,3,| دراويتسا | يدشر معطم | 102,95
مطعم رشدي,مساعد شيف,+201095958526,الدقهلية,المنصورة,Restaurants & Cafes,"مساعد, مطاعم",3,| فيش دعاسم | يدشر معطم | 103,95
مطعم رشدي,شيف مشاوي,+201095958526,الدقهلية,المنصورة,Restaurants & Cafes,مطاعم,3,| يواشم فيش | يدشر معطم | 104,95
ةيئاودلا تاعانصلل ةعومجملا,هيفوبو ةفاظن,+201024615857,الدقهلية,المنصورة,Other,,3,| هيفوبو ةفاظن | ةيئاودلا تاعانصلل ةعومجملا | 105,85
مصنع المكاوي,محاسب,+201111778520,الدقهلية,المنصورة,Manufacturing & Industry,"محاسبة, تصنيع",3,| بساحم | يواكملا عنصم | 106,95
مصنع المكاوي,جاتنإ لامع,+201111778520,الدقهلية,المنصورة,Manufacturing & Industry,تصنيع,3,| جاتنإ لامع | يواكملا عنصم | 107,95
Fitness Sport,سكرتارية,+201501333207,الدقهلية,المنصورة,Fitness & Sports,"إداري, تقنية معلومات",3,| ةيراتركس | Fitness Sport | 108,95
Fitness Sport,خدمة عمالء,+201501333207,الدقهلية,المنصورة,Fitness & Sports,تقنية معلومات,3,| ءلامع ةمدخ | Fitness Sport | 109,95
Fitness Sport,تيل سيلز,+201501333207,الدقهلية,المنصورة,Fitness & Sports,"تقنية معلومات, مبيعات",3,| زليس ليت ي | Fitness Sport | 110,95
Fitness Sport,مسؤول مبيعات,+201501333207,الدقهلية,المنصورة,Fitness & Sports,"تقنية معلومات, مبيعات",3,| تاعيبم لوؤسم | Fitness Sport | 111,95
Smart Optics,خدمة عمالء,+201013495042,الدقهلية,المنصورة,Pharma & Healthcare,صيدلة,3,| ءلامع ةمدخ | Smart Optics | 112,95
Flamingo Bakery,ةفاظن لامع,+201000142083,الدقهلية,المنصورة,Restaurants & Cafes,,3,| ةفاظن لامع | Flamingo Bakery | 113,95
Smile Craft,مندوب,+201094763815,الدقهلية,المنصورة,Pharma & Healthcare,"صيدلة, مبيعات",3,| بودنم | Smile Craft | 114,95
ةيجيلخلا,صقم بف,+201029600005,الدقهلية,المنصورة,Other,,3,| ز صقم بف ي | ةيجيلخلا | 115,85
Mac N Pie,استيوارد مطبخ,+201005058002,الدقهلية,المنصورة,Restaurants & Cafes,"مطاعم, نظافة",3,| خبطم دراويتسا | Mac N Pie | 116,95
Mac N Pie,نزخم ي مأ,+201005058002,الدقهلية,المنصورة,Restaurants & Cafes,,3,| ز نزخم ي مأ | Mac N Pie | 117,95
Gold's Gym,سيلز,+201558089088,الدقهلية,المنصورة,Fitness & Sports,"تقنية معلومات, مبيعات",3,| زليس | Gold's Gym | 118,95
نانتما,مندوب مبيعات,+201068051455,الدقهلية,المنصورة,Other,مبيعات,3,| تاعيبم بودنم | نانتما | 119,85
هايملا رتلافل قن,تيل سيلز,+201003883660,الدقهلية,المنصورة,Technology & IT,"تقنية معلومات, مبيعات",3,| زليس ليت ي | هايملا رتلافل قن ي | 120,95
Sale 3l Moda,سيلز,+201270664188,الدقهلية,المنصورة,Other,مبيعات,3,| زليس | Sale 3l Moda | 121,85
ت ياه فاوقلا,تارمم قسنم,+201003175745,الدقهلية,المنصورة,Other,,3,| تارمم قسنم | ت ياه فاوقلا | 122,85
بيرغلا دلب,كرو مطعم,+201009187421,الدقهلية,المنصورة,Restaurants & Cafes,,3,| معطم ورك | بيرغلا دلب | 123,95
ةرانإ,جاتنإ لامع,+201002250081,الدقهلية,المنصورة,Other,,3,| جاتنإ لامع | ةرانإ | 124,85
لرون,سيلز,+201040002308,الدقهلية,المنصورة,Other,مبيعات,3,| زليس | لرون ي | 125,85
ةيئاذغلا داوملل داحتلاا,سائق / أم ي مخزن / عمال,+201000366167,الدقهلية,المنصورة,Other,شحن وتوصيل,3,| ز لامع / نزخم ي مأ / قئاس | ةيئاذغلا داوملل داحتلاا | 126,85
MK هيليتأ,سيلز,+201034647070,الدقهلية,المنصورة,Other,مبيعات,3,| زليس | MK هيليتأ | 127,85
ر وزيز يشك,كاش ت / كول سنت / مدير,+201000047398,الدقهلية,المنصورة,Other,إدارة,3,| ريدم / تنس لوك / ت شاك | ر وزيز يشك | 128,85
ماشلا ةزمح,ويت / شيف,+201000047398,الدقهلية,المنصورة,Technology & IT,"مطاعم, تقنية معلومات",3,| فيش / تيو | ماشلا ةزمح ي | 129,95
شكة القزاز للدعاية والتسويق ر,سيلز,+201500133105,الدقهلية,المنصورة,Marketing & Media,"تسويق, مبيعات",3,| زليس | ر قيوستلاو ةياعدلل زازقلا ةكش | 130,95
شكة العروبة للمواد الغذائية ر,مشف ي مبيعات / مناديب مبيعات ر,+201030888776,الدقهلية,المنصورة,Other,مبيعات,3,| ز ر تاعيبم بيدانم / تاعيبم ي فشم | ر ةيئاذغلا داوملل ةبورعلا ةكش | 131,85
شكة دكتور بحر لألدوات المتلية ر زز,سيلز أوت دور (بنات),+201014744749,الدقهلية,المنصورة,Other,مبيعات,3,| )تانب( رود توأ زليس | زز ر ةيلتملا تاودلأل رحب روتكد ةكش | 132,85
AB Chem ةيئاودلا تاماخلل,سيلز (بنات),+201050389859,الدقهلية,المنصورة,Other,مبيعات,3,| )تانب( زليس | AB Chem ةيئاودلا تاماخلل | 133,85
شكة القزاز للدعاية والتسويق ر,كيفارج ممصم,+201500133105,الدقهلية,المنصورة,Marketing & Media,تسويق,3,| كيفارج ممصم | ر قيوستلاو ةياعدلل زازقلا ةكش | 134,95
مطعم جدو,تنس لوك,+201210676902,الدقهلية,المنصورة,Restaurants & Cafes,,3,| تنس لوك | ودج معطم | 135,95
مصنع ليتا للحلويات زز,ةفاظن لامع,+201010545089,الدقهلية,المنصورة,Manufacturing & Industry,تصنيع,3,| ةفاظن لامع | زز تايولحلل اتيل عنصم | 136,95
شكة أوبكس (فابريكا) ر,ةحفص ليومت ةلوؤسم,+201002651951,الدقهلية,المنصورة,Other,,3,| ةحفص ليومت ةلوؤسم | ر )اكيرباف( سكبوأ ةكش | 137,85
مصنع إيفنت للمالبس,ايديم لايشوس ةت تركس,+201093063063,الدقهلية,المنصورة,Manufacturing & Industry,تصنيع,3,| ايديم لايشوس ةت تركس | سبلاملل تنفيإ عنصم | 138,95
مصنع أدوات كهربائية – ميت غمر,HR,+201060011244,الدقهلية,المنصورة,Manufacturing & Industry,"موارد بشرية, تصنيع",3,| HR | رمغ تيم – ةيئابرهك تاودأ عنصم | 139,95
ليعامسإ دمحم هيليتأ,تافظوم,+201066176605,الدقهلية,المنصورة,Other,,3,| تافظوم | ليعامسإ دمحم هيليتأ | 140,85
ج يإ امراف زلود,ةفاظن لامع,+201024615857,الدقهلية,المنصورة,Other,,4,| ةفاظن لامع | ج يإ امراف زلود ي | 141,85
شكة براشوت للشحن ر,مندوب شحن,+201025457600,الدقهلية,المنصورة,Logistics & Delivery,"شحن وتوصيل, مبيعات",4,| نحش بودنم | ر نحشلل توشارب ةكش | 142,95
ع يزوتلاو ةراجتلل ةيملاعلا ديبس,بيدانم,+201026262855,الدقهلية,المنصورة,Other,,4,| بيدانم | ع يزوتلاو ةراجتلل ةيملاعلا ديبس | 143,85
ج يإ امراف زلود,سائق,+201024615857,الدقهلية,المنصورة,Other,شحن وتوصيل,4,| قئاس | ج يإ امراف زلود ي | 144,85
ج يإ امراف زلود,سكرتارية,+201024615857,الدقهلية,المنصورة,Other,إداري,4,| ةيراتركس | ج يإ امراف زلود ي | 145,85
ةيئابرهك ةزهجأ روتسا,تانلاعإ ممصمو قوسم,+201000773730,الدقهلية,المنصورة,Other,,4,| تانلاعإ ممصمو قوسم | ةيئابرهك ةزهجأ روتسا | 146,85
ةيئابرهك ةزهجأ روتسا,مبيعات وخدمة عمالء,+201000773730,الدقهلية,المنصورة,Other,مبيعات,4,| ءلامع ةمدخو تاعيبم | ةيئابرهك ةزهجأ روتسا | 147,85
شكة أجهزة متلية ر زز,Sales Promoter,+201278485805,الدقهلية,المنصورة,Other,مبيعات,4,| Sales Promoter | زز ر ةيلتم ةزهجأ ةكش | 148,85
شكة رامكو فارم ر,تيل سيلز,+201220080306,الدقهلية,المنصورة,Technology & IT,"تقنية معلومات, مبيعات",4,| زليس ليت ي | ر مراف وكمار ةكش | 149,95
تافييكتلل يركف دمحم تلايكوت,سائق,+201099387975,الدقهلية,المنصورة,Other,شحن وتوصيل,4,| قئاس | تافييكتلل يركف دمحم تلايكوت | 150,85
تافييكتلل يركف دمحم تلايكوت,فييكت بف,+201099387975,الدقهلية,المنصورة,Other,,4,| ز فييكت بف ي | تافييكتلل يركف دمحم تلايكوت | 151,85
ليومتلل ةضباقلا نامأ,محاسب,+201044961007,الدقهلية,المنصورة,Other,محاسبة,4,| بساحم | ليومتلل ةضباقلا نامأ | 152,85
سبلاملل جنيتس لحم,درج لوؤسم,+201000371791,الدقهلية,المنصورة,Other,,4,| درج لوؤسم ي | سبلاملل جنيتس لحم | 153,85
سبلاملل جنيتس لحم,سيلز,+201000371791,الدقهلية,المنصورة,Other,مبيعات,4,| زليس | سبلاملل جنيتس لحم | 154,85
زز ةيلتملا ةزهجلأل جاش ضوع,نزاخم لامع,+201554988833,الدقهلية,المنصورة,Other,,4,| نزاخم لامع | زز ةيلتملا ةزهجلأل جاش ضوع | 155,85
مركز ريفاين لل تر,تمريض / سحب عينات,+201272961194,الدقهلية,المنصورة,Pharma & Healthcare,صيدلة,4,| تانيع بحس / ضيرمت | ز رت لل نيافير زكرم | 156,95
شكة ميديكال دريم ر,تيل سيلز (بنات),+201024973404,الدقهلية,المنصورة,Technology & IT,"تقنية معلومات, مبيعات",4,| )تانب( زليس ليت ي | ر ميرد لاكيديم ةكش | 157,95
روطعلل سيراب ابوك,خدمة عمالء,+201019678477,الدقهلية,المنصورة,Other,,4,| ءلامع ةمدخ | روطعلل سيراب ابوك | 158,85
مركز أشعة أسنان,جنيتكرام,+201025229927,الدقهلية,المنصورة,Pharma & Healthcare,صيدلة,4,| جنيتكرام | نانسأ ةعشأ زكرم | 159,95
عيبطلا جلاعلل ABC زكرم ي,نشبيسير,0115497818,,,Other,,4,| نشبيسير | عيبطلا جلاعلل ABC زكرم ي | 160,80
شكة ال تا ك للخرسانة ر,محاسب مال,0115497818,,,Other,محاسبة,4,| لام بساحم ي | ر ةناسرخلل ك ات لا ةكش ي | 161,80
اديفأ تادايع,تمريض,+201062099900,الدقهلية,المنصورة,Pharma & Healthcare,صيدلة,4,| ضيرمت | اديفأ تادايع | 162,95
ةردابملا ةيعمج,نامتئا لوئسم,+201096534343,الدقهلية,المنصورة,Other,,4,| نامتئا لوئسم | ةردابملا ةيعمج | 163,85
Prime Zone مقرلا قيوستلل ي,سيلز,+201040047459,الدقهلية,المنصورة,Other,مبيعات,4,| زليس | Prime Zone مقرلا قيوستلل ي | 164,85
شكة باندا لألغذية ر,مندوب مبيعات,+201000469348,الدقهلية,المنصورة,Other,مبيعات,4,| تاعيبم بودنم | ر ةيذغلأل ادناب ةكش | 165,85
